"id","sh_to.0","sh_to.1","sh_to.2","sh_to.3","sh_to.4","sh_from.0","sh_from.1","sh_from.2","sh_from.3","sh_from.4","deg_in_norm","deg_out_norm"
0,1,0,0,0,0,0,0,0,0,0,0,0.0333333333333333
1,0.5,0.5,0,0,0,0,0,0,0,0,0,0.0666666666666667
2,0,1,0,0,0,0,1,0,0,0,0.00568181818181818,0.0333333333333333
3,0,1,0,0,0,0,0,0,0,0,0,0.0666666666666667
5,0,0,0,0,0,0,0,0,0,0,0,0
6,0.142857142857143,0.857142857142857,0,0,0,0,0,0,0,0,0,0.233333333333333
8,0,0,0,0,0,0,0,0,0,0,0,0
9,0,1,0,0,0,0,0,0,0,0,0,0.133333333333333
10,0.4,0.6,0,0,0,0,0,0,0,0,0,0.166666666666667
12,0,0,0,1,0,0,0,0,1,0,0.00568181818181818,0.0333333333333333
13,0,0,0,0,0,0,0,0,0,0,0,0
14,0,0,1,0,0,0,0,0,0,0,0,0.0333333333333333
15,0,0,0,1,0,0.0909090909090909,0,0,0.909090909090909,0,0.0625,0.0666666666666667
19,0,0,0,0,0,1,0,0,0,0,0.0113636363636364,0
20,1,0,0,0,0,0,0,0,0,0,0,0.0333333333333333
21,0,0,0,0,1,0,0,0,0,0,0,0.0666666666666667
22,0,1,0,0,0,0,0,0,0,0,0,0.0333333333333333
23,0,0,0,0,1,0,0,0,0,0,0,0.133333333333333
24,0,1,0,0,0,0,1,0,0,0,0.00568181818181818,0.0333333333333333
25,0.9,0,0.1,0,0,1,0,0,0,0,0.0170454545454545,0.333333333333333
26,0,0,1,0,0,0,0,0,0,0,0,0.1
27,0,0,1,0,0,0,0,0,0,0,0,0.0333333333333333
28,0,0,0,0,0,0,0,0,0,0,0,0
29,0,0,0,1,0,0,0,0,1,0,0.0170454545454545,0.0333333333333333
30,0.5,0,0.25,0,0.25,0,0,0,0,0,0,0.133333333333333
33,0,0,0,1,0,0,0,0,0,0,0,0.0666666666666667
34,0.375,0,0.625,0,0,0,0,0,0,0,0,0.266666666666667
35,1,0,0,0,0,0,0,0,0,0,0,0.0666666666666667
36,0,0,0,0,0,0,0,1,0,0,0.0113636363636364,0
38,0,0,0,1,0,0,0,0,0,0,0,0.0666666666666667
40,1,0,0,0,0,0.5,0,0,0,0.5,0.0227272727272727,0.0666666666666667
41,0,0,0,0,0,0,0,0,0,0,0,0
42,0,0,1,0,0,0,0,0,0,0,0,0.0666666666666667
43,0.333333333333333,0.666666666666667,0,0,0,0,0,0,0,0,0,0.1
44,1,0,0,0,0,0,0,0,0,0,0,0.0333333333333333
46,0.666666666666667,0,0.333333333333333,0,0,0,0,0,0,0,0,0.3
47,0,0,0,0,0,0,0,0,0,0,0,0
48,0,0,0,1,0,0,0,0,1,0,0.0170454545454545,0.0333333333333333
49,1,0,0,0,0,1,0,0,0,0,0.0170454545454545,0.0333333333333333
50,0,0,0,0,1,0,0,0,0,0,0,0.0333333333333333
52,1,0,0,0,0,0,0,0,0,0,0,0.0666666666666667
53,0.8,0,0.2,0,0,0,0,0,0,0,0,0.166666666666667
55,0,0,0,0,0,0,1,0,0,0,0.0511363636363636,0
56,0,0,0,1,0,0.666666666666667,0,0,0.333333333333333,0,0.0170454545454545,0.0333333333333333
58,0.888888888888889,0,0.111111111111111,0,0,0,0,0,0,0,0,0.3
59,0.666666666666667,0,0,0,0.333333333333333,0,0,0,0,0,0,0.1
61,0,0,0,0,1,0,0,0,0,0,0,0.0666666666666667
62,0,0,0,1,0,0,0,0,0,0,0,0.0333333333333333
64,0.111111111111111,0.888888888888889,0,0,0,0,0,0,0,0,0,0.3
69,1,0,0,0,0,1,0,0,0,0,0.00568181818181818,0.0666666666666667
70,0,0,0,0,0,0,0,0,0,0,0,0
71,0,0,0,0,1,0,0,0,0,0,0,0.0333333333333333
72,0,1,0,0,0,0,0,0,0,0,0,0.0333333333333333
73,0,1,0,0,0,0,1,0,0,0,0.0852272727272727,0.0333333333333333
74,0,0,0,0,1,0.409090909090909,0.0454545454545455,0.0454545454545455,0,0.5,0.125,0.0666666666666667
75,1,0,0,0,0,0,0,0,0,0,0,0.0666666666666667
76,0,0,0,1,0,0,0,0,0,0,0,0.0333333333333333
78,0,1,0,0,0,0,0,0,0,0,0,0.0333333333333333
80,1,0,0,0,0,1,0,0,0,0,0.0170454545454545,0.0333333333333333
82,0,0,0,1,0,0,0,0,0,0,0,0.0333333333333333
84,0,0,0,0,0,0,0,0,0,0,0,0
88,0,1,0,0,0,0.846153846153846,0.153846153846154,0,0,0,0.0738636363636364,0.0333333333333333
90,0,0,0,0,0,0,0,0,0,0,0,0
91,0,0,0,0,1,0,0,0,0,1,0.00568181818181818,0.2
92,0,0,0,0,0,0,0,0,0,0,0,0
93,0,0,0,0,1,0.666666666666667,0,0,0,0.333333333333333,0.0170454545454545,0.0666666666666667
96,0,1,0,0,0,0,1,0,0,0,0.00568181818181818,0.133333333333333
97,0.5,0.5,0,0,0,0,0,0,0,0,0,0.133333333333333
98,0,0,0,1,0,0,0,0,0,0,0,0.1
101,0,0,0,0,1,0,0,0,0,1,0.0738636363636364,0.0333333333333333
102,0,0,0,1,0,0,0,0,1,0,0.0113636363636364,0.0666666666666667
103,0.2,0.8,0,0,0,0,0,1,0,0,0.00568181818181818,0.166666666666667
105,0,1,0,0,0,1,0,0,0,0,0.0113636363636364,0.0666666666666667
